id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,wday,month,event_name_1,snap_CA,snap_TX,snap_WI,sell_price,is_event,is_snap,lag_7,lag_28,rolling_7
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_948,2,2013-09-02,11332,3,9,LaborDay,1,0,1,8.26,1,1,0.0,1.0,0.2857142857142857
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_990,1,2013-10-14,11338,3,10,ColumbusDay,0,0,1,8.26,1,0,0.0,0.0,0.42857142857142855
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_991,0,2013-10-15,11338,4,10,EidAlAdha,0,1,1,8.26,1,0,1.0,1.0,0.5714285714285714
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1007,0,2013-10-31,11340,6,10,Halloween,0,0,0,8.26,1,0,0.0,1.0,0.8571428571428571
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1018,3,2013-11-11,11342,3,11,VeteransDay,0,1,1,8.26,1,0,0.0,1.0,0.8571428571428571
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1035,1,2013-11-28,11344,6,11,Thanksgiving,0,0,0,8.26,1,0,0.0,0.0,0.42857142857142855
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1042,0,2013-12-05,11345,6,12,Chanukah End,1,1,1,8.26,1,1,1.0,1.0,1.0
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1062,0,2013-12-25,11348,5,12,Christmas,0,0,0,8.26,1,0,1.0,0.0,0.8571428571428571
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1069,1,2014-01-01,11349,5,1,NewYear,1,1,0,8.26,1,1,0.0,1.0,0.0
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1075,0,2014-01-07,11350,4,1,OrthodoxChristmas,1,1,0,8.26,1,1,0.0,1.0,0.2857142857142857
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1088,0,2014-01-20,11352,3,1,MartinLutherKingDay,0,0,0,8.26,1,0,0.0,0.0,0.2857142857142857
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,d_1101,0,2014-02-02,11401,2,2,SuperBowl,1,0,1,8.26,1,1,1.0,0.0,0.2857142857142857
